rollout/,ep_len_mean,ep_rew_mean,time/,fps,iterations,time_elapsed,total_timesteps,train/,approx_kl,clip_fraction,clip_range,entropy_loss,explained_variance,learning_rate,loss,n_updates,policy_gradient_loss,value_loss
,126.0,17.9,,150,143,1940,292864,,0.004670629,0.0743,0.2,-0.369,0.22,0.0003,8.76,1420.0,-0.00343,17.7
,118.0,15.9,,150,144,1955,294912,,0.006145198,0.0573,0.2,-0.368,0.233,0.0003,9.79,1430.0,-0.00156,18.9
,126.0,17.5,,150,145,1967,296960,,0.005188626,0.0562,0.2,-0.373,0.117,0.0003,15.4,1440.0,-0.00083,25.7
,125.0,17.7,,150,146,1981,299008,,0.006966577,0.0749,0.2,-0.387,0.263,0.0003,12.1,1450.0,-0.00199,15.9
,126.0,18.5,,150,147,1994,301056,,0.004448583,0.0559,0.2,-0.369,0.319,0.0003,14.3,1460.0,-0.00377,23.6
,131.0,19.8,,150,148,2007,303104,,0.008863527,0.0643,0.2,-0.37,0.19,0.0003,10.9,1470.0,-0.00467,21.8
,125.0,17.9,,151,149,2020,305152,,0.005545673,0.0487,0.2,-0.378,0.311,0.0003,11.5,1480.0,-0.00229,23.2
,134.0,20.4,,151,150,2033,307200,,0.0043115336,0.0644,0.2,-0.342,0.2,0.0003,11.4,1490.0,-0.00177,25.8
,130.0,19.7,,151,151,2047,309248,,0.0069747427,0.0666,0.2,-0.366,0.211,0.0003,8.46,1500.0,-0.00419,23.7
,126.0,18.5,,151,152,2060,311296,,0.008192999,0.0718,0.2,-0.36,0.261,0.0003,11.3,1510.0,-0.00495,24.6
,129.0,18.9,,151,153,2073,313344,,0.007234403,0.0933,0.2,-0.36,0.058,0.0003,13.2,1520.0,-0.00334,22.5
,128.0,18.5,,151,154,2086,315392,,0.0047341823,0.0523,0.2,-0.343,0.244,0.0003,7.42,1530.0,-0.00383,19.5
,131.0,19.2,,151,155,2099,317440,,0.0061507476,0.0774,0.2,-0.358,0.137,0.0003,17.8,1540.0,-0.00357,23.1
,138.0,21.3,,151,156,2112,319488,,0.0053546308,0.0594,0.2,-0.338,0.301,0.0003,8.5,1550.0,-0.00383,16.2
,140.0,21.6,,151,157,2124,321536,,0.0054784557,0.0837,0.2,-0.358,0.296,0.0003,10.8,1560.0,-0.00172,20.3
,138.0,21.8,,151,158,2138,323584,,0.007906534,0.064,0.2,-0.332,0.225,0.0003,11.1,1570.0,-0.00353,20.7
,140.0,22.5,,151,159,2150,325632,,0.006033203,0.0754,0.2,-0.364,0.266,0.0003,12.4,1580.0,-0.00129,25.5
,138.0,22.3,,151,160,2164,327680,,0.005887826,0.0631,0.2,-0.351,0.252,0.0003,14.9,1590.0,-0.000814,21.9
,131.0,20.8,,151,161,2177,329728,,0.0050752955,0.0703,0.2,-0.352,0.293,0.0003,9.36,1600.0,-0.00347,23.8
,130.0,21.3,,151,162,2190,331776,,0.008356342,0.0738,0.2,-0.367,0.203,0.0003,8.5,1610.0,-0.00285,21.9
,133.0,21.8,,151,163,2202,333824,,0.0061919666,0.0669,0.2,-0.335,0.182,0.0003,7.95,1620.0,-0.00311,23.6
,131.0,21.0,,151,164,2215,335872,,0.0066100555,0.0687,0.2,-0.338,0.264,0.0003,7.37,1630.0,-0.00197,21.3
,138.0,22.5,,151,165,2229,337920,,0.0075633395,0.0607,0.2,-0.346,0.175,0.0003,9.8,1640.0,-0.0024,23.9
,137.0,22.3,,151,166,2242,339968,,0.008224526,0.0681,0.2,-0.322,0.00242,0.0003,12.0,1650.0,-0.000309,20.8
,142.0,23.3,,151,167,2255,342016,,0.007435147,0.0787,0.2,-0.331,0.0508,0.0003,13.5,1660.0,-0.00246,22.2
,147.0,24.8,,151,168,2267,344064,,0.0049110753,0.0492,0.2,-0.335,0.266,0.0003,7.65,1670.0,-0.00103,19.7
,143.0,23.9,,151,169,2280,346112,,0.008743105,0.0802,0.2,-0.342,0.127,0.0003,10.9,1680.0,-0.00302,23.7
,138.0,23.3,,151,170,2293,348160,,0.004183912,0.0552,0.2,-0.338,0.264,0.0003,13.1,1690.0,0.000461,25.4
,137.0,23.9,,151,171,2306,350208,,0.005454182,0.074,0.2,-0.351,0.0972,0.0003,20.6,1700.0,-0.0033,30.4
,132.0,23.0,,151,172,2319,352256,,0.0049903453,0.0627,0.2,-0.306,0.331,0.0003,3.69,1710.0,-0.0014,21.7
,133.0,23.4,,151,173,2333,354304,,0.01226719,0.0855,0.2,-0.365,0.191,0.0003,14.5,1720.0,-0.0034,23.7
,124.0,20.9,,151,174,2347,356352,,0.0063891225,0.0671,0.2,-0.345,0.15,0.0003,10.2,1730.0,-0.00232,26.3
,117.0,18.6,,151,175,2362,358400,,0.006392802,0.0629,0.2,-0.318,0.284,0.0003,15.3,1740.0,-0.00392,25.8
,108.0,15.7,,151,176,2376,360448,,0.004615902,0.0625,0.2,-0.345,0.179,0.0003,19.2,1750.0,-0.00087,29.4
,104.0,13.9,,151,177,2390,362496,,0.010524249,0.0711,0.2,-0.333,0.187,0.0003,9.18,1760.0,-0.00218,22.0
,102.0,13.5,,151,178,2403,364544,,0.0069204974,0.0724,0.2,-0.325,0.205,0.0003,14.1,1770.0,-0.00269,23.4
,108.0,15.2,,151,179,2416,366592,,0.0075114197,0.081,0.2,-0.336,0.356,0.0003,11.6,1780.0,-0.00191,17.3
,113.0,16.5,,151,180,2428,368640,,0.008719763,0.069,0.2,-0.302,0.3,0.0003,8.32,1790.0,-0.00275,18.6
,122.0,18.2,,151,181,2440,370688,,0.00742185,0.0719,0.2,-0.318,0.14,0.0003,5.38,1800.0,-0.00423,21.7
,135.0,21.8,,152,182,2452,372736,,0.0084865,0.0688,0.2,-0.331,0.127,0.0003,10.4,1810.0,-0.00366,21.2
,146.0,24.8,,152,183,2463,374784,,0.005448186,0.0765,0.2,-0.353,0.0358,0.0003,5.14,1820.0,-0.00195,18.4
,154.0,26.7,,152,184,2474,376832,,0.0047286926,0.0724,0.2,-0.329,0.11,0.0003,9.47,1830.0,-0.000256,20.8
,154.0,27.3,,152,185,2488,378880,,0.0113373,0.0977,0.2,-0.34,0.0418,0.0003,13.2,1840.0,-0.00614,22.9
,151.0,26.9,,152,186,2501,380928,,0.0053520184,0.0633,0.2,-0.336,0.205,0.0003,8.68,1850.0,-0.00138,30.2
,151.0,26.4,,152,187,2514,382976,,0.006804104,0.0759,0.2,-0.341,0.236,0.0003,15.0,1860.0,0.00104,27.1
,155.0,28.2,,152,188,2526,385024,,0.0078619765,0.074,0.2,-0.326,0.116,0.0003,7.81,1870.0,-0.00372,23.6
,158.0,29.4,,152,189,2538,387072,,0.0076627415,0.085,0.2,-0.337,0.16,0.0003,7.71,1880.0,-0.00243,21.6
,159.0,29.6,,152,190,2550,389120,,0.0059422017,0.0669,0.2,-0.323,0.195,0.0003,7.61,1890.0,-0.000666,18.8
,154.0,29.0,,152,191,2562,391168,,0.008022653,0.0722,0.2,-0.331,0.118,0.0003,8.33,1900.0,-0.00051,19.6
,161.0,30.6,,152,192,2574,393216,,0.007893756,0.0657,0.2,-0.315,0.067,0.0003,8.89,1910.0,-0.000848,25.1
,160.0,30.1,,152,193,2587,395264,,0.004823179,0.0477,0.2,-0.302,0.0777,0.0003,7.45,1920.0,-0.00139,19.6
,168.0,32.1,,152,194,2599,397312,,0.0076635983,0.0781,0.2,-0.331,0.195,0.0003,11.5,1930.0,-0.00554,27.6
,166.0,31.6,,152,195,2612,399360,,0.008480521,0.0796,0.2,-0.333,0.12,0.0003,12.5,1940.0,-0.00496,25.7
